Unnamed: 0,Made Donation in March 2007
659,0.3864617132926586
276,0.12933586946506806
263,0.2869921296874741
303,0.29579684459831124
83,0.434855471712379
500,0.6513189847798021
530,0.30952089605440963
244,0.15477835019364217
249,0.030971237728234628
728,0.09374767365034319
129,0.18890494575256125
534,0.15093443481875926
317,0.23797511748713956
401,0.2869921296874741
696,0.2728072532416938
192,0.18826327674280338
176,0.2330464411963275
571,0.38232454360538687
139,0.0946272491646404
423,0.2742430454639306
563,0.35679690037511824
56,0.2837336972102344
528,0.32777464727473077
101,0.2869921296874741
467,0.23488159701690187
382,0.26163440834995966
466,0.30878799149248093
294,0.15477835019364217
512,0.2871480423910678
659,0.3864617132926586
389,0.2735635594401315
487,0.051041293397601016
701,0.3202715309429
419,0.22624405454793334
536,0.18785281673488027
240,0.24284230504797188
508,0.20713619419171783
515,0.15477835019364217
283,0.30984661514777434
650,0.2869921296874741
65,0.33612467314813255
228,0.16023196313816923
741,0.07733562209157503
297,0.32060331031676487
464,0.14353225486099125
63,0.3202715309429
231,0.3173812563488354
28,0.13496108932232892
248,0.15477835019364217
357,0.1798663226196415
300,0.4167161567035945
726,0.5410235983083805
680,0.17718790084159874
520,0.2694239796224935
254,0.07129404876390268
582,0.19142373075467417
143,0.19036086553480577
98,0.35331327489074377
1,0.26510081029298227
221,0.41246838549432197
352,0.2869921296874741
64,0.13746669950797824
138,0.2520536467158491
745,0.3135189256451766
64,0.13746669950797824
688,0.12519251103846268
623,0.12108195681621248
289,0.19738836744957214
174,0.29058989724141343
690,0.2869921296874741
105,0.18849622731284688
427,0.16012948226693638
48,0.026915569495356128
14,0.2869921296874741
657,0.06901090345683777
301,0.14640795717529478
455,0.1502542219477514
579,0.23928791076841527
722,0.13751405270140873
98,0.35331327489074377
491,0.026915569495356128
303,0.29579684459831124
466,0.30878799149248093
65,0.33612467314813255
300,0.4167161567035945
9,0.09544423517881943
622,0.18826327674280338
323,0.12716418376295455
289,0.19738836744957214
568,0.29761558591351234
290,0.2869921296874741
156,0.15966357751192564
464,0.14353225486099125
426,0.14837029488740933
306,0.23013851425520074
4,0.2811175167355344
12,0.3059547031239753
187,0.2464990825947106
406,0.08425684458731605
96,0.30952089605440963
509,0.3202715309429
733,0.14636036086552537
548,0.09246469731444983
478,0.22858554074935816
501,0.19107023972524984
127,0.35653469832421153
199,0.20434692464118398
299,0.3488911930910014
162,0.2869921296874741
235,0.15069288184265156
23,0.21059824721416534
473,0.2869921296874741
487,0.051041293397601016
683,0.35767230993483357
303,0.29579684459831124
309,0.06672442091132047
569,0.08268480933293364
34,0.33333072381021994
686,0.5242587800840116
84,0.26495241920239737
733,0.14636036086552537
537,0.3912554026070648
181,0.17514320604006814
453,0.676522739581225
67,0.3368049884452982
161,0.36584117930294024
307,0.2455059048191905
703,0.20527312338325854
181,0.17514320604006814
246,0.16939413336556045
316,0.3074911831469394
278,0.18826327674280338
346,0.21123275533846328
545,0.2869921296874741
419,0.22624405454793334
694,0.30952089605440963
622,0.18826327674280338
663,0.08253742345192425
262,0.5007808031968837
461,0.21673128372161563
373,0.8114756308364969
233,0.2869921296874741
466,0.30878799149248093
207,0.19036086553480577
263,0.2869921296874741
16,0.08268480933293364
513,0.08274260950319666
449,0.26934901087568686
429,0.05272556646152185
701,0.3202715309429
632,0.07593675014670805
529,0.4381289087916363
245,0.27025380751123335
344,0.14856291744360126
353,0.15532772931279326
241,0.27858522731703017
633,0.13527307695010635
624,0.3202715309429
726,0.5410235983083805
189,0.18826327674280338
138,0.2520536467158491
402,0.15477835019364217
511,0.32928457283389023
590,0.3617953732626738
334,0.1928949774869772
447,0.09554134602436705
119,0.30878799149248093
389,0.2735635594401315
644,0.2869921296874741
423,0.2742430454639306
131,0.08268480933293364
405,0.023083584275564298
82,0.2869921296874741
643,0.8626920657853647
156,0.15966357751192564
617,0.08806015456109181
574,0.34021224035088604
272,0.22597684780737465
613,0.11038142660065266
545,0.2869921296874741
685,0.15477835019364217
570,0.19402816144715043
537,0.3912554026070648
691,0.13527307695010635
85,0.3834009974152841
483,0.16939413336556045
455,0.1502542219477514
93,0.18826327674280338
744,0.3202715309429
33,0.16939413336556045
321,0.6208596918370407
523,0.22972732880069843
426,0.14837029488740933
196,0.13491662613741612
301,0.14640795717529478
103,0.13527307695010635
224,0.1018359276649307
454,0.11264776835114243
585,0.08408067366767144
154,0.28777219871405385
