,Made Donation in March 2007
659,0.24
276,0.24
263,0.20380952381
303,0.24
83,0.24
500,0.24
530,0.263333333333
244,0.18
249,0.24
728,0.24
129,0.24
534,0.24
317,0.24
401,0.20380952381
696,0.43
192,0.235555555556
176,0.24
571,0.24
139,0.24
423,0.24
563,0.24
56,0.305
528,0.24
101,0.20380952381
467,0.24
382,0.24
466,0.28
294,0.18
512,0.18
659,0.24
389,0.24
487,0.24
701,0.224642857143
419,0.18
536,0.24
240,0.24
508,0.24
515,0.18
283,0.24
650,0.20380952381
65,0.305
228,0.43
741,0.24
297,0.18
464,0.24
63,0.224642857143
231,0.24
28,0.18
248,0.18
357,0.18
300,0.24
726,0.24
680,0.24
520,0.24
254,0.24
582,0.24
143,0.24
98,0.24
1,0.18
221,0.24
352,0.20380952381
64,0.24
138,0.24
745,0.24
64,0.24
688,0.24
623,0.24
289,0.24
174,0.24
690,0.20380952381
105,0.18
427,0.24
48,0.24
14,0.20380952381
657,0.24
301,0.24
455,0.24
579,0.24
722,0.24
98,0.24
491,0.24
303,0.24
466,0.28
65,0.305
300,0.24
9,0.196666666667
622,0.235555555556
323,0.24
289,0.24
568,0.18
290,0.20380952381
156,0.24
464,0.24
426,0.18
306,0.24
4,0.24
12,0.18
187,0.24
406,0.24
96,0.263333333333
509,0.224642857143
733,0.24
548,0.18
478,0.24
501,0.24
127,0.24
199,0.24
299,0.24
162,0.20380952381
235,0.18
23,0.24
473,0.20380952381
487,0.24
683,0.24
303,0.24
309,0.24
569,0.199230769231
34,0.24
686,0.24
84,0.24
733,0.24
537,0.24
181,0.24
453,0.24
67,0.24
161,0.24
307,0.24
703,0.18
181,0.24
246,0.221666666667
316,0.24
278,0.235555555556
346,0.24
545,0.20380952381
419,0.18
694,0.263333333333
622,0.235555555556
663,0.18
262,0.24
461,0.24
373,0.24
233,0.20380952381
466,0.28
207,0.24
263,0.20380952381
16,0.199230769231
513,0.24
449,0.24
429,0.24
701,0.224642857143
632,0.24
529,0.24
245,0.24
344,0.24
353,0.24
241,0.24
633,0.18
624,0.224642857143
726,0.24
189,0.235555555556
138,0.24
402,0.18
511,0.24
590,0.24
334,0.24
447,0.24
119,0.28
389,0.24
644,0.20380952381
423,0.24
131,0.199230769231
405,0.24
82,0.20380952381
643,0.24
156,0.24
617,0.18
574,0.24
272,0.24
613,0.24
545,0.20380952381
685,0.18
570,0.24
537,0.24
691,0.18
85,0.24
483,0.221666666667
455,0.24
93,0.235555555556
744,0.224642857143
33,0.221666666667
321,0.24
523,0.24
426,0.18
196,0.24
301,0.24
103,0.18
224,0.18
454,0.24
585,0.18
154,0.24
